Spectacle	Choreography	Decor	Costumes	Lightning	Music	Original cast	premiere date	First perf Location	place	coordinate location	Duration	Capsule (Y/N)
						Robert Kovich						
						Brynar Mehl						
						Charles Moulton						
						Julie Roess-Smith						
Solo 	Merce Cunningham		Sonja Sekula		John Cage	Merce Cunningham	08/03/75	Music Hall	Detroit	42.331666666667,-83.0475	00:10:00	N
Torse	Merce Cunningham		Mark Lancaster	Mark Lancaster	Maryanne Amacher	Karen Attix	15/01/76	McCarter Theatre	Princeton	40.352222222222,-74.656944444444	00:55:00	Y
						Ellen Cornfield						
						Morgan Ensminger						
						Meg Harper						
						Susana Hayman-Chaffey						
						Catherine Kerr						
						Chris Komar						
						Robert Kovich						
						Charles Moulton						
						Julie Roess-Smith						
Squaregame	Merce Cunningham	Mark Lancaster	Mark Lancaster		Takehisa Kosugi	Karole Armitage	24/03/76	Festival Theatre	Adelaide	-34.933333333333,138.58333333333	00:26:00	Y
						Karen Attix						
						Ellen Cornfield						
						Merce Cunningham						
						Morgan Ensminger						
						Meg Harper						
						Susana Hayman-Chaffey						
						Catherine Kerr						
						Chris Komar						
						Robert Kovich						
						Raymond Kurshals						
						Charles Moulton						
						Julie Roess-Smith						
Travelogue	Merce Cunningham	Robert Rauschenberg	Robert Rauschenberg		John Cage	Karole Armitage	18/01/77	Minskoff Theatre	New York City	40.67,-73.94	00:33:00	N
						Ellen Cornfield						
						Merce Cunningham						
						Morgan Ensminger						
						Meg Harper						
						Chris Komar						
						Robert Kovich						
						Julie Roess-Smith						
Inlets	Merce Cunningham	Morris Graves	Morris Graves	Charles Atlas	John Cage	Karole Armitage	10/09/77	Meany Hall, Cornish College of the Arts	Seattle	47.60621,-122.33207	00:26:00	Y
						Ellen Cornfield						
						Merce Cunningham						
						Lisa Fox						
						Chris Komar						
						Robert Kovich						
Fractions	Merce Cunningham	Mark Lancaster	Mark Lancaster		Jon Gibson	Karole Armitage	26/02/78	Boston English High School	Boston	42.3605,-71.0596	00:30:00	Y
						Louise Burns						
						Ellen Cornfield						
						Meg Eginton						
						Lisa Fox						
						Chris Komar						
						Robert Kovich						
						Jim Self						
Exercise Piece I	Merce Cunningham					Meg Eginton	25/03/78	Roundabout Theatre	New York City	40.67,-73.94		N
						Susan Emery						
						Lise Friedman						
						Rob Remley						
Exercise Piece II	Merce Cunningham					Karole Armitage	18/08/78	Royal Alexandra Theatre	Toronto	43.670277777778,-79.386666666667		N
						Louise Burns						
						Ellen Cornfield						
						Meg Eginton						
						Susan Emery						
						Lisa Fox						
						Lise Friedman						
						Alan Good						
						Catherine Kerr						
						Chris Komar						
						Robert Kovich						
						Joseph Lennon						
						Rob Remley						
						Jim Self						
Exchange	Merce Cunningham	Jasper Johns	Jasper Johns	Charles Atlas	David Tudor	Merce Cunningham	27/09/78	City Center Theater	New York City	40.67,-73.94	00:35:00	Y
						Karole Armitage						
						Louise Burns						
						Ellen Cornfield						
						Meg Eginton						
						Susan Emery						
						Lisa Fox						
						Lise Friedman						
						Alan Good						
						Catherine Kerr						
						Chris Komar						
						Robert Kovich						
						Joseph Lennon						
						Rob Remley						
						Jim Self						
Tango 	Merce Cunningham	Mark Lancaster	Mark Lancaster		John Cage	Merce Cunningham	05/10/78	City Center Theater	New York City	40.67,-73.94	00:07:00	N
Roadrunners	Merce Cunningham		Mark Lancaster		Yasuno Tone	Karole Armitage	19/08/79	Duke University	Durham	35.9875,-78.907222	00:22:00	Y
						Louise Burns						
						Ellen Cornfield						
						Merce Cunningham						
						Meg Eginton						
						Susan Emery						
						Lisa Fox						
						Lise Friedman						
						Alan Good						
						Catherine Kerr						
						Chris Komar						
						Robert Kovich						
						Joseph Lennon						
						Rob Remley						
						Jim Self						
Locale	Merce Cunningham		Charles Atlas	Charles Atlas	Takehisa Kosugi	Karole Armitage	09/10/79	Théâtre de la Ville	Paris	48.856577777778,2.3518277777778	00:28:00	Y
						Louise Burns						
						Ellen Cornfield						
						Meg Eginton						
						Susan Emery						
						Lisa Fox						
						Lise Friedman						
						Alan Good						
						Catherine Kerr						
						Chris Komar						
						Robert Kovich						
						Joseph Lennon						
						Rob Remley						
						Jim Self						
Exercise Piece III	Merce Cunningham					Karen Attix	23/02/80	Merce Cunningham Studio	New York City	40.67,-73.94		N
						Ellen Cornfield						
						Meg Harper						
						Catherine Kerr						
						Chris Komar						
						Robert Kovich						
						Charles Moulton						
						Julie Roess-Smith						
						Valda Setterfield						
Duets	Merce Cunningham		Mark Lancaster	Mark Lancaster	John Cage	Karole Armitage	26/02/80	City Center Theater	New York City	40.67,-73.94	00:16:00	Y
						Louise Burns						
						Merce Cunningham						
						Meg Eginton						
						Susan Emery						
						Lise Friedman						
						Alan Good						
						Catherine Kerr						
						Chris Komar						
						Robert Kovich						
						Joseph Lennon						
						Rob Remley						
Fielding Sixes	Merce Cunningham		Robert Rauschenberg	Robert Rauschenberg	John Cage	Shareen Blair	30/06/80	University of California	Los Angeles	34.05223,-118.24368	00:12:00	Y
						Carolyn Brown						
						Merce Cunningham						
						Viola Farber						
10's with Shoes	Merce Cunningham	Mark Lancaster	Mark Lancaster		Martin Kalve	Karole Armitage	17/03/81	City Center Theater	New York City	40.67,-73.94	00:17:00	N
						Louise Burns						
						Ellen Cornfield						
						Alan Good						
						Neil Greenberg						
						Chris Komar						
						Joseph Lennon						
Channels/Inserts	Merce Cunningham		Charles Atlas	Charles Atlas	David Tudor	Karole Armitage	24/03/81	City Center Theater	New York City	40.67,-73.94	00:28:00	Y
						Louise Burns						
						Ellen Cornfield						
						Susan Emery						
						Lise Friedman						
						Alan Good						
						Catherine Kerr						
						Chris Komar						
						Judy Lazaroff						
						Joseph Lennon						
						Rob Remley						
						Robert Swinston						
						Megan Walker						
Gallopade	Merce Cunningham	Mark Lancaster	Mark Lancaster		Takehisa Kosugi	Merce Cunningham	10/06/81	Sadler's Wells Theatre	London	51.507222222222,-0.1275	00:17:00	N
						Susan Emery						
						Lise Friedman						
						Catherine Kerr						
						Judy Lazaroff						
						Rob Remley						
						Robert Swinston						
						Megan Walker						
Trails	Merce Cunningham	Mark Lancaster	Mark Lancaster		John Cage	Louise Burns	16/03/82	City Center Theater	New York City	40.67,-73.94	00:30:00	Y
						Ellen Cornfield						
						Lise Friedman						
						Alan Good						
						Neil Greenberg						
						Catherine Kerr						
						Chris Komar						
						Joseph Lennon						
						Robert Swinston						
						Megan Walker						
Numbers	Merce Cunningham					Louise Burns	18/03/82	City Center Theater	New York City	40.67,-73.94	00:33:00	N
						Ellen Cornfield						
						Susan Emery						
						Neil Greenberg						
						Judy Lazaroff						
						Susan Quinn						
						Rob Remley						
Quartet	Merce Cunningham	Mark Lancaster	Mark Lancaster		David Tudor	Helen Barrow	27/10/82	Theatre des Champs-Elysees	Paris	48.856577777778,2.3518277777778	00:17:00	Y
						Merce Cunningham						
						Susan Emery						
						Judy Lazaroff						
						Rob Remley						
Coast Zone	Merce Cunningham		Charles Atlas		Larry Austin	Helen Barrow	18/03/83	City Center Theater	New York City	40.67,-73.94	00:27:00	N
						Louise Burns						
						Lise Friedman						
						Alan Good						
						Neil Greenberg						
						Catherine Kerr						
						Judy Lazaroff						
						Joseph Lennon						
						Susan Quinn						
						Rob Remley						
						Robert Swinston						
						Megan Walker						
Inlets 2	Merce Cunningham		Mark Lancaster		John Cage	Helen Barrow	26/10/83	Le Colisee (Festival de Lille)	Roubaix	50.69,3.1816666666667	00:20:00	Y
						Susan Emery						
						Lise Friedman						
						Alan Good						
						Chris Komar						
						Joseph Lennon						
						Karen Radford						
						Megan Walker						
Roaratorio	Merce Cunningham		Mark Lancaster	Mark Lancaster	John Cage	Helen Barrow	26/10/83	Le Colisée de Roubaix (Festival de Lille)	Roubaix	50.69,3.1816666666667	01:00:00	Y
						Louise Burns						
						Merce Cunningham						
						Susan Emery						
						Lise Friedman						
						Alan Good						
						Neil Greenberg						
						Catherine Kerr						
						Chris Komar						
						Judy Lazaroff						
						Joseph Lennon						
						Susan Quinn						
						Karen Radford						
						Rob Remley						
						Robert Swinston						
						Megan Walker						
Pictures	Merce Cunningham	Mark Lancaster	Mark Lancaster	Mark Lancaster	David Behrman	Merce Cunningham	06/03/84	City Center Theater	New York City	40.67,-73.94	00:29:00	Y
						Helen Barrow						
						Louise Burns						
						Lise Friedman						
						Alan Good						
						Neil Greenberg						
						Catherine Kerr						
						Chris Komar						
						Joseph Lennon						
						Patricia Lent						
						Karen Radford						
						Rob Remley						
						Robert Swinston						
						Megan Walker						
						Susan Quinn						
Doubles	Merce Cunningham	Mark Lancaster	Mark Lancaster		Takehisa Kosugi	Helen Barrow	28/07/84	Duke University	Durham	35.9875,-78.907222	00:25:00	Y
						Louise Burns						
						Lise Friedman						
						Alan Good						
						Neil Greenberg						
						Catherine Kerr						
						Chris Komar						
						Joseph Lennon						
						Patricia Lent						
						Susan Quinn						
						Karen Radford						
						Rob Remley						
						Robert Swinston						
						Megan Walker						
Phrases	Merce Cunningham	William Anastasi	Dove Bradshaw		David Tudor	Helen Barrow	07/12/84	Théâtre Municipal d'Angers	Angers	47.472777777778,-0.55555555555556	00:31:00	N
						Louise Burns						
						Merce Cunningham						
						Victoria Finlayson						
						Alan Good						
						Neil Greenberg						
						Catherine Kerr						
						Chris Komar						
						Joseph Lennon						
						Patricia Lent						
						Susan Quinn						
						Karen Radford						
						Rob Remley						
						Robert Swinston						
						Megan Walker						
Deli Commedia	Merce Cunningham		Dove Bradshaw		Pat Richter	Brenda Daniels	24/01/85	Merce Cunningham Studio	New York City	40.67,-73.94	00:18:00	N
						Frey Faust						
						Kristy Santimyer						
						Carol Teitelbaum						
						Bill Young						
Native Green	Merce Cunningham	William Anastasi	William Anastasi	Aaron Copp	John King	Helen Barrow	12/03/85	City Center Theater	New York City	40.67,-73.94	00:16:00	Y
						Alan Good						
						Chris Komar						
						Patricia Lent						
						Megan Walker Straight						
						Robert Swinston						
Arcade	Merce Cunningham	Dove Bradshaw	Dove Bradshaw		John Cage	Helen Barrow	14/11/85	Annenberg Center, University of Pennsylvania	Philadelphia	39.952777777778,-75.163611111111	00:23:00	N
						Victoria Finlayson						
						Alan Good						
						Neil Greenberg						
						Catherine Kerr						
						Patricia Lent						
						Susan Quinn						
						Karen Radford						
						Rob Remley						
						Kristy Santimyer						
						Kevin Schroder						
						Robert Swinston						
						Megan Walker						
Grange Eve	Merce Cunningham	William Anastasi	William Anastasi		Takehisa Kosugi	Helen Barrow	18/03/86	City Center Theater	New York City	40.67,-73.94	00:22:00	N
						Merce Cunningham						
						Victoria Finlayson						
						Alan Good						
						Catherine Kerr						
						Chris Komar						
						Patricia Lent						
						Susan Quinn						
						Karen Radford						
						Rob Remley						
						Kristy Santimyer						
						Kevin Schroder						
						Robert Swinston						
						Megan Walker						
Fabrications	Merce Cunningham	Dove Bradshaw	Dove Bradshaw		Emanuel Dimas de Melo Pimenta	Helen Barrow	21/02/87	Northrop Auditorium	Minneapolis	44.9733,-93.2643	00:30:00	Y
						Merce Cunningham						
						Victoria Finlayson						
						Alan Good						
						Catherine Kerr						
						Chris Komar						
						David Kulick						
						Patricia Lent						
						Dennis O'Connor						
						Susan Quinn						
						Karen Radford						
						Rob Remley						
						Kristy Santimyer						
						Robert Swinston						
						Carol Teitelbaum						
Shards	Merce Cunningham	William Anastasi	William Anastasi	William Anastasi	David Tudor	Helen Barrow	04/03/87	City Center Theater	New York City	40.67,-73.94	00:26:00	Y
						Victoria Finlayson						
						Catherine Kerr						
						Alan Good						
						David Kulick						
						Patricia Lent						
						Rob Remley						
						Susan Quinn Young						
Points in Space	Merce Cunningham	William Anastasi	Dove Bradshaw	Dove Bradshaw	John Cage	Helen Barrow	10/03/87	City Center Theater	New York City	40.67,-73.94	00:26:00	Y
						Victoria Finlayson						
						Alan Good						
						Catherine Kerr						
						Chris Komar						
						David Kulick						
						Patricia Lent						
						Susan Quinn						
						Karen Radford						
						Rob Remley						
						Kristy Santimyer						
						Robert Swinston						
Carousal	Merce Cunningham		Dove Bradshaw		Takehisa Kosugi	Helen Barrow	18/08/87	Jacob's Pillow	Massachusetts	42.3,-71.8	00:24:00	N
						Victoria Finlayson						
						Alan Good						
						Catherine Kerr						
						Chris Komar						
						David Kulick						
						Patricia Lent						
						Larissa McGoldrick						
						Dennis O'Connor						
						Karen Radford						
						Rob Remley						
						Kristy Santimyer						
						Robert Swinston						
Eleven	Merce Cunningham		William Anastasi		Robert Ashley	Helen Barrow	09/03/88	The Joyce Theater	New York City	40.67,-73.94	00:27:00	N
						Victoria Finlayson						
						Alan Good						
						Chris Komar						
						David Kulick						
						Patricia Lent						
						Larissa McGoldrick						
						Dennis O'Connor						
						Kristy Santimyer						
						Robert Swinston						
						Carol Teitelbaum						
Five Stone	Merce Cunningham	Mark Lancaster	Mark Lancaster		John Cage	Helen Barrow	16/06/88	Freie Volksbühne	Berlin	52.516666666667,13.383333333333	00:55:00	N
						Merce Cunningham						
						Victoria Finlayson						
						Alan Good						
						Chris Komar						
						David Kulick						
						Patricia Lent						
						Larissa McGoldrick						
						Dennis O'Connor						
						Kristy Santimyer						
						Robert Swinston						
						Carol Teitelbaum						
						Robert Wood						
Five Stone Wind	Merce Cunningham	Mark Lancaster	Mark Lancaster	Mark Lancaster	John Cage	Helen Barrow	30/07/88	Cour d'Honneur du Palais des Papes (Festival d'Avignon)	Avignon	43.948611111111,4.8083333333333	00:55:00	Y
					David Tudor	Kimberly Bartosik						
					Takehisa Kosugi	Merce Cunningham						
						Emma Diamond						
						Victoria Finlayson						
						Alan Good						
						Chris Komar						
						David Kulick						
						Patricia Lent						
						Larissa McGoldrick						
						Dennis O'Connor						
						Kristy Santimyer						
						Robert Swinston						
						Carol Teitelbaum						
						Robert Wood						
Cargo X	Merce Cunningham		Dove Bradshaw		Takehisa Kosugi	Helen Barrow	09/07/88	University of Texas	Austin	30.3,-97.733333333333	00:20:00	N
						Emma Diamond						
						David Kulick						
						Larissa McGoldrick						
						Dennis O'Connor						
						Kristy Santimyer						
						Robert Wood						
Field and Figures	Merce Cunningham	Andrew Ginzel	Andrew Ginzel		Ivan Tcherepnin	Helen Barrow	17/02/89	Northrop Auditorium	Minneapolis	44.9733,-93.2643		N
		Kristin Jones	Kristin Jones			Kimberly Bartosik						
						Emma Diamond						
						Victoria Finlayson						
						Alan Good						
						Chris Komar						
						David Kulick						
						Patricia Lent						
						Larissa McGoldrick						
						Dennis O'Connor						
						Kristy Santimyer						
						Robert Swinston						
						Carol Teitelbaum						
						Robert Wood						
August Pace	Merce Cunningham	Afrika (Sergei Bugaev)	Afrika (Sergei Bugaev)	Merce Cunningham	Michael Pugliese	Helen Barrow	22/09/89	Zellerbach Hall	Berkeley	37.870277777778,-122.26805555556	00:26:00	Y
						Kimberly Bartosik						
						Michael Cole						
						Emma Diamond						
						Victoria Finlayson						
						Alan Good						
						Chris Komar						
						David Kulick						
						Patricia Lent						
						Larissa McGoldrick						
						Dennis O'Connor						
						Robert Swinston						
						Carol Teitelbaum						
						Jenifer Weaver						
						Robert Wood						
Inventions	Merce Cunningham	Carl Kielblock	Carl Kielblock		John Cage	Helen Barrow	23/09/89	University of California	Berkeley	37.870277777778,-122.26805555556	00:29:00	N
						Kimberly Bartosik						
						Michael Cole						
						Emma Diamond						
						Victoria Finlayson						
						Alan Good						
						Chris Komar						
						David Kulick						
						Patricia Lent						
						Larissa McGoldrick						
						Dennis O'Connor						
						Kristy Santimyer						
						Robert Swinston						
						Carol Teitelbaum						
						Robert Wood						
Polarity	Merce Cunningham	William Anastasi	William Anastasi		David Tudor	Helen Barrow	20/03/90	City Center Theater	New York City	40.67,-73.94	00:54:00	N
						Victoria Finlayson						
						Alan Good						
						Chris Komar						
						Patricia Lent						
						Robert Swinston						
						Carol Teitelbaum						
Neighbors	Merce Cunningham	Mark Lancaster	Mark Lancaster		Takehisa Kosugi	Victoria Finlayson	13/03/91	City Center Theater	New York City	40.67,-73.94	00:25:00	N
						Alan Good						
						David Kulick						
						Patricia Lent						
						Larissa McGoldrick						
						Robert Swinston						
Trackers	Merce Cunningham	Dove Bradshaw	Dove Bradshaw	Dove Bradshaw	Emanuel Dimas de Melo Pimenta	Helen Barrow	20/03/91	City Center Theater	New York City	40.67,-73.94	00:30:00	Y
						Kimberly Bartosik						
						Michael Cole						
						Merce Cunningham						
						Emma Diamond						
						Chris Komar						
						Emily Navar						
						Randall Sanderson						
						Carol Teitelbaum						
						Jenifer Weaver						
						Robert Wood						
Beach Birds	Merce Cunningham		Marsha Skinner		John Cage	Helen Barrow	20/06/91	Theater 11	Zürich	47.378611111111,8.54	00:28:00	Y
						Kimberly Bartosik						
						Michael Cole						
						Victoria Finlayson						
						Alan Good						
						David Kulick						
						Larissa McGoldrick						
						Randall Sanderson						
						Robert Swinston						
						Carol Teitelbaum						
						Jenifer Weaver						
Loosestrife	Merce Cunningham	Carl Kielblock	Carl Kielblock	Carl Kielblock	Michael Pugliese	Helen Barrow	10/09/91	Théâtre de la Ville	Paris	48.856577777778,2.3518277777778	00:30:00	Y
						Kimberly Bartosik						
						Michael Cole						
						Merce Cunningham						
						Emma Diamond						
						Victoria Finlayson						
						Frédéric (Foofwa d'Imobilité) Gafner						
						Alan Good						
						Chris Komar						
						David Kulick						
						Patricia Lent						
						Larissa McGoldrick						
						Randall Sanderson						
						Robert Swinston						
						Carol Teitelbaum						
						Jenifer Weaver						
Change of Address	Merce Cunningham	Marsha Skinner	Marsha Skinner		Walter Zimmermann	Helen Barrow	31/01/92	University of Texas	Austin	30.3,-97.733333333333	00:24:00	Y
						Alan Good						
						Carol Teitelbaum						
						Chris Komar						
						David Kulick						
						Emma Diamond						
						Frédéric (Foofwa d'Imobilité) Gafner						
						Kimberly Bartosik						
						Larissa McGoldrick						
						Michael Cole						
						Patricia Lent						
						Randall Sanderson						
						Robert Swinston						
						Victoria Finlayson						
Enter	Merce Cunningham	John Cage	Marsha Skinner	Marsha Skinner	David Tudor	Helen Barrow	17/11/92	Opéra National de Paris	Paris	48.856577777778,2.3518277777778	01:00:00	Y
		Marsha Skinner				Michael Cole						
						Merce Cunningham						
						Emma Diamond						
						Jean Freebury						
						Frédéric (Foofwa d'Imobilité) Gafner						
						Alan Good						
						David Kulick						
						Patricia Lent						
						Larissa McGoldrick						
						Chris Komar						
						Randall Sanderson						
						Robert Swinston						
						Carol Teitelbaum						
						Jenifer Weaver						
Doubletoss	Merce Cunningham	Aaron Copp	Suzanne Gallo	Aaron Copp	Takehisa Kosugi	Kimberly Bartosik	26/02/93	Northrop Auditorium	Minneapolis	44.9733,-93.2643	00:27:00	Y
		Merce Cunningham	Merce Cunningham	Merce Cunningham		Michael Cole						
						Jean Freebury						
						Frédéric (Foofwa d'Imobilité) Gafner						
						Alan Good						
						David Kulick						
						Patricia Lent						
						Larissa McGoldrick						
						Chris Komar						
						Robert Swinston						
						Carol Teitelbaum						
						Jenifer Weaver						
						Emma Diamond						
Touchbase	Merce Cunningham	Mark Lancaster	Mark Lancaster		Michael Pugliese	Michael Cole	10/03/93	City Center Theater	New York City	40.67,-73.94	00:33:00	N
						Emma Diamond						
						Jean Freebury						
						David Kulick						
						Patricia Lent						
						Robert Swinston						
						Carol Teitelbaum						
CRWDSPCR	Merce Cunningham	Mark Lancaster	Mark Lancaster		John King	Kimberly Bartosik	15/07/93	American Dance Festival, Duke University	Durham	35.9875,-78.907222	00:28:00	Y
						Michael Cole						
						Emma Diamond						
						Jean Freebury						
						Frédéric (Foofwa d'Imobilité) Gafner						
						Alan Good						
						Chris Komar						
						Patricia Lent						
						Glen Rumsey						
						Jeannie Steele						
						Robert Swinston						
						Carol Teitelbaum						
						Jenifer Weaver						
Breakers	Merce Cunningham	Mary Jean Kenton	Mary Jean Kenton		John Driscoll	Kimberly Bartosik	09/03/94	City Center Theater	New York City	40.67,-73.94	00:26:00	N
						Thomas Caley						
						Michael Cole						
						Emma Diamond						
						Jean Freebury						
						Frédéric (Foofwa d'Imobilité) Gafner						
						China Laudisio						
						Banu Ogan						
						Jared Phillips						
						Glen Rumsey						
						Jeannie Steele						
						Robert Swinston						
						Cheryl Therrien						
						Jenifer Weaver						
Ocean	Merce Cunningham	Marsha Skinner	Marsha Skinner	Marsha Skinner	Andrew Culver	Kimberly Bartosik	18/05/94	Cirque Royal	Brussels	50.846666666667,4.3525	01:30:00	Y
				Aaron Copp	David Tudor	Thomas Caley						
						Michael Cole						
						Emma Diamond						
						Jean Freebury						
						Frédéric (Foofwa d'Imobilité) Gafner						
						China Laudisio						
						Matthew Mohr						
						Banu Ogan						
						Jared Phillips						
						Glen Rumsey						
						Jeannie Steele						
						Robert Swinston						
						Cheryl Therrien						
						Jenifer Weaver						
"4'33"""	Merce Cunningham				John Cage	Kimberly Bartosik	15/07/94	Central Park SummerStage	New York City	40.67,-73.94	00:04:33	N
						Lisa Boudreau						
						Thomas Caley						
						Michael Cole						
						Merce Cunningham						
						Emma Diamond						
						Jean Freebury						
						Frédéric (Foofwa d'Imobilité) Gafner						
						China Laudisio						
						Matthew Mohr						
						Banu Ogan						
						Jared Phillips						
						Glen Rumsey						
						Jeannie Steele						
						Robert Swinston						
						Cheryl Therrien						
						Jenifer Weaver						
Ground Level Overlay	Merce Cunningham	Leonardo Drew	Suzanne Gallo	Aaron Copp	Stuart Dempster	Kimberly Bartosik	08/03/95	City Center Theater	New York City	40.67,-73.94	00:32:00	Y
						Lisa Boudreau						
						Thomas Caley						
						Michael Cole						
						Jean Freebury						
						Frédéric (Foofwa d'Imobilité) Gafner						
						China Laudisio						
						Matthew Mohr						
						Banu Ogan						
						Jared Phillips						
						Glen Rumsey						
						Jeannie Steele						
						Robert Swinston						
						Cheryl Therrien						
						Jenifer Weaver						
Windows	Merce Cunningham	John Cage	Suzanne Gallo	Aaron Copp	Emanuel Dimas de Melo Pimenta	Kimberly Bartosik	23/06/95	Opéra Berlioz / Le Corum	Montpellier	43.610919444444,3.8772305555556	00:30:00	Y
						Lisa Boudreau						
						Thomas Caley						
						Michael Cole						
						Jean Freebury						
						Frédéric (Foofwa d'Imobilité) Gafner						
						China Laudisio						
						Matthew Mohr						
						Banu Ogan						
						Jared Phillips						
						Glen Rumsey						
						Robert Swinston						
						Cheryl Therrien						
						Jenifer Weaver						
Tune In / Spin Out	Merce Cunningham		Merce Cunningham		John Cage	Kimberly Bartosik	31/01/96	University of Texas	Austin	30.3,-97.733333333333	00:28:00	N
			Suzanne Gallo			Lisa Boudreau						
						Thomas Caley						
						Michael Cole						
						Jean Freebury						
						Frédéric (Foofwa d'Imobilité) Gafner						
						China Laudisio						
						Matthew Mohr						
						Banu Ogan						
						Jared Phillips						
						Jeannie Steele						
						Robert Swinston						
						Jenifer Weaver						
Installations	Merce Cunningham	Elliot Caplan	Elliot Caplan		Trimpin	Kimberly Bartosik	02/05/96	University of Washington	Seattle	47.60621,-122.33207	00:27:00	N
						Lisa Boudreau						
						Thomas Caley						
						Michael Cole						
						Jean Freebury						
						Frédéric (Foofwa d'Imobilité) Gafner						
						China Laudisio						
						Matthew Mohr						
						Banu Ogan						
						Jared Phillips						
						Glen Rumsey						
						Jeannie Steele						
						Robert Swinston						
						Cheryl Therrien						
Rondo	Merce Cunningham		Merce Cunningham	Kelly Atallah	John Cage	Kimberly Bartosik	02/06/96	Theater im Forum	Ludwigsburg	48.8975,9.1919444444444	00:26:00	Y
			Suzanne Gallo			Lisa Boudreau						
						Thomas Caley						
						Michael Cole						
						Frédéric (Foofwa d'Imobilité) Gafner						
						China Laudisio						
						Matthew Mohr						
						Banu Ogan						
						Jared Phillips						
						Glen Rumsey						
						Jeannie Steele						
						Derry Swan						
						Robert Swinston						
						Cheryl Therrien						
Scenario	Merce Cunningham	Rei Kawakubo	Rei Kawakubo	Rei Kawakubo	Takehisa Kosugi	Lisa Boudreau	14/10/97	Brooklyn Academy of Music	New York City	40.67,-73.94	00:30:00	Y
						Thomas Caley						
						Michael Cole						
						Maydelle Fason						
						Jean Freebury						
						Frédéric (Foofwa d'Imobilité) Gafner						
						China Laudisio						
						Matthew Mohr						
						Banu Ogan						
						Jared Phillips						
						Glen Rumsey						
Pond Way	Merce Cunningham	Roy Lichtenstein	Suzanne Gallo	David Covey	Brian Eno	Lisa Boudreau	13/01/98	Opéra National de Paris	Paris	48.856577777778,2.3518277777778	00:21:00	Y
						Thomas Caley						
						Holley Farmer						
						Maydelle Fason						
						Jean Freebury						
						Matthew Mohr						
						Banu Ogan						
						Jared Phillips						
						Glen Rumsey						
						Jeannie Steele						
						Derry Swan						
						Robert Swinston						
						Cheryl Therrien						
BIPED	Merce Cunningham	Shelley Eshkar	Suzanne Gallo	Aaron Copp	Gavin Bryars	Lisa Boudreau	23/04/99	Zellerbach Hall, University of California	Berkeley	37.870277777778,-122.26805555556	00:45:00	Y
		Paul Kaiser				Thomas Caley						
						Holley Farmer						
						Maydelle Fason						
						Jean Freebury						
						David Kulick						
						Matthew Mohr						
						Banu Ogan						
						Glen Rumsey						
						Daniel Squire						
						Jeannie Steele						
						Derry Swan						
Split Sides	Merce Cunningham	Catherine Yass	James Hall	James F. Ingalls	Radiohead	Cédric Andrieux	14/10/03	Brooklyn Academy of Music	New York City	40.67,-73.94	00:40:00	Y
		Robert Heishman			Sigur Ros	Mikhail Baryshnikov						
						Lisa Boudreau						
						Ashley Chen						
						Paige Cunningham						
						Holley Farmer						
						Jennifer Goggans						
						Mandy Kirschner						
						Koji Mizuta						
						Daniel Roberts						
						Cheryl Therrien						
						Daniel Squire						
						Jeannie Steele						
						Derry Swan						
						Robert Swinston						
						Cheryl Therrien						
Occasion Piece	Merce Cunningham	Jasper Johns	Suzanne Gallo		John Cage	Mikhail Baryshnikov	21/07/99	New York State Theater	New York City	40.67,-73.94	00:08:00	N
						Merce Cunningham						
Interscape	Merce Cunningham	Robert Rauschenberg	Robert Rauschenberg	Aaron Copp	John Cage	Cédric Andrieux	06/04/00	Eisenhower Theater, Kennedy Center	Washington, D.C.	38.895,-77.036666666667	00:44:00	Y
						Lisa Boudreau						
						Ashley Chen						
						Holley Farmer						
						Maydelle Fason						
						David Kulick						
						Koji Mizuta						
						Matthew Mohr						
						Banu Ogan						
						Daniel Squire						
						Jeannie Steele						
						Derry Swan						
						Robert Swinston						
						Cheryl Therrien						
Way Station	Merce Cunningham	Charles Long	James Hall	Aaron Copp	Takehisa Kosugi	Cédric Andrieux	31/03/01	City Center Theater	New York City	40.67,-73.94	00:31:00	Y
						Jonah Bokaer						
						Lisa Boudreau						
						Ashley Chen						
						Paige Cunningham						
						Holley Farmer						
						Jean Freebury						
						Jennifer Goggans						
						Mandy Kirschner						
						Koji Minato						
						Daniel Roberts						
						Daniel Squire						
						Jeannie Steele						
						Robert Swinston						
Loose Time	Merce Cunningham	Terry Winters	Terry Winters	Aaron Copp	Christian Wolff	Cédric Andrieux	01/02/02	Zellerbach Hall, University of California	Berkeley	37.870277777778,-122.26805555556	00:30:00	Y
						Jonah Bokaer						
						Lisa Boudreau						
						Ashley Chen						
						Paige Cunningham						
						Holley Farmer						
						Jean Freebury						
						Jennifer Goggans						
						Mandy Kirschner						
						Koji Mizuta						
						Daniel Roberts						
						Daniel Squire						
						Jeannie Steele						
						Derry Swan						
						Robert Swinston						
						Cheryl Therrien						
Fluid Canvas	Merce Cunningham	Marc Downie	James Hall		John King	Cédric Andrieux	10/09/02	Barbican Centre	London	51.507222222222,-0.1275	00:35:00	N
		Shelley Eshkar				Jonah Bokaer						
		Paul Kaiser				Lisa Boudreau						
						Ashley Chen						
						Paige Cunningham						
						Holley Farmer						
						Jean Freebury						
						Jennifer Goggans						
						Mandy Kirschner						
						Koji Mizuta						
						Daniel Roberts						
						Daniel Squire						
						Jeannie Steele						
						Derry Swan						
						Robert Swinston						
						Cheryl Therrien						
