Spectacle	Choreography	Decor	Costumes	Lightning	Music	Original cast	premiere date	First perf Location	place	coordinate location	Duration	Capsule (Y/N)
Diversion, A	Merce Cunningham		Merce Cunningham		John Cage	Merce Cunningham	20/08/48	Black Mountain College	Black Mountain	35.6192,-82.3256	00:08:00	N
			Mary Outten			Sara Hamill						
						Louise Lippold						
Orestes 	Merce Cunningham		Merce Cunningham		John Cage	Merce Cunningham	20/08/48	Black Mountain College	Black Mountain	35.6192,-82.3256	00:10:00	N
Monkey Dances, [The] 	Merce Cunningham		Merce Cunningham		Erik Satie	Merce Cunningham	20/08/48	Black Mountain College	Black Mountain	35.6192,-82.3256	00:26:00	N
Effusions avant l'heure	Merce Cunningham				John Cage	Merce Cunningham	10/06/49	Jean Hélion's Studio	Paris	48.856577777778,2.3518277777778		N
						Tanaquil LeClerq						
						Betty Nichols						
Amores	Merce Cunningham				John Cage	Merce Cunningham	10/06/49	Jean Hélion's Studio	Paris	48.856577777778,2.3518277777778	00:09:00	N
						Tanaquil LeClerq						
Duet	Merce Cunningham		Léonor Fini			Milorad Miskovitch	29/06/49	Paris, France	Paris	48.856577777778,2.3518277777778		N
						Betty Nichols						
Two-Step 	Merce Cunningham		Merce Cunningham		Erik Satie	Merce Cunningham	18/12/49	City Center Theater	New York City	40.67,-73.94	00:02:34	N
Pool of Darkness	Merce Cunningham		Merce Cunningham		Ben Weber	Dorothy Berea	15/01/50	Hunter Playhouse	New York City	40.67,-73.94		N
						Mili Churchill						
						Merce Cunningham						
						Anneliese Widman						
Before Dawn 	Merce Cunningham		Merce Cunningham			Merce Cunningham	15/01/50	Hunter Playhouse	New York City	40.67,-73.94	00:05:00	N
Waltz 	Merce Cunningham				Erik Satie	Merce Cunningham	24/11/50	Cooper Union	New York City	40.67,-73.94	00:07:00	N
Rag-Time Parade	Merce Cunningham				Erik Satie	Sudie Bond	24/11/50	Cooper Union	New York City	40.67,-73.94	00:17:00	N
						François Canton						
						Remy Charlip						
						Marianne Preger-Simon						
						Rachel Rosenthal						
						Julie Walter						
Sixteen Dances for Soloist and Company of Three	Merce Cunningham		John Cage		John Cage	Dorothy Berea	17/01/51	Bennett Junior College	Millbrook	41.7847,-73.6878	00:53:00	Y
			Remy Charlip			Mili Churchill						
			Merce Cunningham			Merce Cunningham						
			Eleanor de Vito			Anneliese Widman						
Variation 	Merce Cunningham		Merce Cunningham		Morton Feldman	Merce Cunningham	12/04/51	University of Washington	Seattle	47.60621,-122.33207	00:07:00	N
Boy Who Wanted to be a Bird 	Merce Cunningham					Merce Cunningham	30/06/51	Martha's Vineyard, MA	Massachusetts	42.3,-71.8	00:05:00	N
Suite of Six Short Dances 	Merce Cunningham				W.P. Jennerjah	Merce Cunningham	10/03/52	Black Mountain College	Black Mountain	35.6192,-82.3256	00:05:00	N
Les Noces	Merce Cunningham	Howard Bay	Howard Bay		Igor Stravinsky	Ronne Aul	14/06/52	Brandeis University	Waltham	42.380596,-71.235005	00:23:00	N
						Phyllis Backer						
						Helaine Berley						
						Adelaide Case						
						Remy Charlip						
						Merce Cunningham						
						Ben Garber						
						Donald McKayle						
						Jo Anne Melsher						
						Natanya Neumann						
						Marianne Preger-Simon						
						Joan Skinner						
						Naima Wallenrod						
						Anneliese Widman						
Collage	Merce Cunningham				Pierre Schaeffer	Remy Charlip	14/06/52	Brandeis University	Waltham	42.380596,-71.235005		Y
						Merce Cunningham						
						Joanne Finkelor						
						Ben Garber						
						Donald McKayle						
						Jo Anne Melsher						
						Natanya Neumann						
						Marianne Preger-Simon						
						Greta Rosenzweig						
						Anneliese Widman						
Theatre Piece 	Merce Cunningham					Merce Cunningham	30/06/52	Black Mountain College	Black Mountain	35.6192,-82.3256		N
Brigadoon 	Merce Cunningham					Merce Cunningham	15/08/52	Parkway Playhouse,Burnsville School of Fine Arts	Burnsville	35.9186,-82.2975		N
										35.91734,-82.30096		
Suite by Chance	Merce Cunningham		Remy Charlip		Christian Wolff	Carolyn Brown	24/03/53	University of Illinois	Urbana	40.109722222222,-88.204166666667	00:24:00	N
						Merce Cunningham						
						Jo Anne Melsher						
						Natanya Neumann						
						Marianne Preger-Simon						
Solo Suite in Space and Time 	Merce Cunningham		Merce Cunningham		John Cage	Merce Cunningham	23/06/53	Louisiana State University	Baton Rouge	30.4475,-91.178611111111	00:07:00	N
Demonstration Piece	Merce Cunningham					Barbara Brown	23/06/53	Louisiana State University	Baton Rouge	30.4475,-91.178611111111		N
						Dorcas Brown						
						Bobbie Chachere						
						Alida Dureau						
						Sybill Gaines						
						Sonya LeBlanc						
						Katie Planche Freidrichs						
Epilogue	Merce Cunningham				Erik Satie	Barbara Brown	23/06/53	Louisiana State University	Baton Rouge	30.4475,-91.178611111111		N
						Dorcas Brown						
						Bobbie Chachere						
						Alida Dureau						
						Sybill Gaines						
						Sonya LeBlanc						
						Katie Planche Freidrichs						
Banjo	Merce Cunningham		Remy Charlip		Louis Moreau Gottschalk	Carolyn Brown	21/08/53	Black Mountain College	Black Mountain	35.6192,-82.3256	00:15:00	Y
						Remy Charlip						
						Merce Cunningham						
						Viola Farber						
						Jo Anne Melsher						
						Paul Taylor						
Dime a Dance	Merce Cunningham		Remy Charlip	Remy Charlip	David Tudor	Ethel Brodsky	21/08/53	Black Mountain College	Black Mountain	35.6192,-82.3256		Y
						Carolyn Brown						
						Remy Charlip						
						Merce Cunningham						
						Anita Dencks						
						Viola Farber						
						Timothy LaFarge						
						Deborah Moscowitz						
						Paul Taylor						
Septet	Merce Cunningham		Remy Charlip		Erik Satie	Jo Anne Melsher	22/08/53	Black Mountain College	Black Mountain	35.6192,-82.3256	00:16:00	Y
						Carolyn Brown						
						Remy Charlip						
						Merce Cunningham						
						Anita Dencks						
						Viola Farber						
						Paul Taylor						
Untitled Solo 	Merce Cunningham		Merce Cunningham		Christian Wolff	Merce Cunningham	22/08/53	Black Mountain College	Black Mountain	35.6192,-82.3256	00:05:00	N
Fragments	Merce Cunningham		Remy Charlip		Pierre Boulez	Remy Charlip	30/12/53	Theater de Lys	New York City	40.67,-73.94		N
						Jo Anne Melsher						
						Anita Dencks						
						Marianne Preger-Simon						
						Merce Cunningham						
						Carolyn Brown						
						Paul Taylor						
Minutiae	Merce Cunningham	Robert Rauschenberg	Remy Charlip		John Cage	Carolyn Brown	08/12/54	Brooklyn Academy of Music	New York City	40.67,-73.94	00:16:00	Y
						Remy Charlip						
						Merce Cunningham						
						Anita Dencks						
						Viola Farber						
						Marianne Preger-Simon						
Springweather and People	Merce Cunningham		Remy Charlip		Earle Brown	Carolyn Brown	24/05/55	Bard College	Annandale-on-Hudson	42.0128,-73.9082	00:33:00	N
			Robert Rauschenberg			Remy Charlip						
						Merce Cunningham						
						Anita Dencks						
						Viola Farber						
						Marianne Preger-Simon						
Galaxy	Merce Cunningham		Remy Charlip		Earle Brown	Carolyn Brown	18/05/56	University of Notre Dame	South Bend	41.676388888889,-86.250277777778	00:07:30	N
						Remy Charlip						
						Viola Farber						
						Marianne Preger-Simon						
Lavish Escapade 	Merce Cunningham		Merce Cunningham		Christian Wolff	Merce Cunningham	18/05/56	University of Notre Dame	South Bend	41.676388888889,-86.250277777778		Y
Suite for Five	Merce Cunningham		Robert Rauschenberg	Beverly Emmons	John Cage	Carolyn Brown	18/05/56	University of Notre Dame	South Bend	41.676388888889,-86.250277777778	00:23:00	Y
						Merce Cunningham						
						Remy Charlip						
						Viola Farber						
						Marianne Preger-Simon						
Nocturnes	Merce Cunningham	Robert Rauschenberg	Robert Rauschenberg		Erik Satie	Carolyn Brown	11/07/56	Jacob's Pillow	Massachusetts	42.3,-71.8	00:30:00	Y
						Remy Charlip						
						Merce Cunningham						
						Viola Farber						
						Bruce King						
						Marianne Preger-Simon						
Labyrinthian Dances	Merce Cunningham	Robert Rauschenberg	Robert Rauschenberg		Josef Matthias Hauer	Carolyn Brown	30/11/57	Brooklyn Academy of Music	New York City	40.67,-73.94		N
						Remy Charlip						
						Merce Cunningham						
						Viola Farber						
						Bruce King						
						Marianne Preger-Simon						
Changeling 	Merce Cunningham		Robert Rauschenberg	Robert Rauschenberg	Christian Wolff	Merce Cunningham	30/11/57	Brooklyn Academy of Music	New York City	40.67,-73.94		Y
Picnic Polka	Merce Cunningham		Remy Charlip		Louis Moreau Gottschalk	Carolyn Brown	30/11/57	Brooklyn Academy of Music	New York City	40.67,-73.94		N
						Remy Charlip						
						Merce Cunningham						
						Viola Farber						
						Bruce King						
						Marianne Preger-Simon						
Antic Meet	Merce Cunningham	Robert Rauschenberg	Robert Rauschenberg		John Cage	Carolyn Brown	14/08/58	American Dance Festival, Connecticut College	New London	41.354069,-72.10104	00:30:00	Y
						Remy Charlip						
						Merce Cunningham						
						Viola Farber						
						Cynthia Stone						
						Marilyn Wood						
